code,name,price_שוהם 91,price_per_pack_שוהם 91,promo_price_שוהם 91,price_רעננה 45,price_per_pack_רעננה 45,promo_price_רעננה 45,price_אופקים 47,price_per_pack_אופקים 47,promo_price_אופקים 47,price_לינקולן תל אביב 44,price_per_pack_לינקולן תל אביב 44,promo_price_לינקולן תל אביב 44,price_ברנע 41,price_per_pack_ברנע 41,promo_price_ברנע 41
7290112006387,אירוויק ספריי מבשם ומנטרל ריחות יסמין,,,,,,,,,,15.90,15.9,,,,
7290112012685,רוטב ישראלי לסלט וכריכים,,,,,,,,,,15.90,15.9,,,,
7290112014306,רוטב לסלט וכריכים וינגרט בניחוח הדרים,,,,,,,,,,15.90,15.9,,,,
7290112192875,משחת שיניים רגישות וחניכיים 75 מל סנסוד,,,,,,,,,,35.90,35.9,24.90,,,
7290112193292,מסכה מתולתלות 500 מל,,,,,,,,,,31.90,31.9,,,,
7290112193315,קרם לחות מתולתלות 400 מל,,,,,,,,,,33.90,33.9,,,,
7290112196514,חטיף קרקר 180 גרם,,,,,,,,,,13.90,13.9,,,,
7290112197580,טרו ריבת משמש 250 גר`,,,,,,,,,,16.90,16.9,,,,
7290112199034,טרו רוטב סויה בסגנון סיני 300 מל,,,,,,,,,,13.90,13.9,,,,
7290112199959,טרו גרנולה פירות ללתס 300 גר`,,,,,,,,,,21.90,21.9,,,,
7290112332875,מאסט קוביות מנטה עדינה 86 גר`,,,,,,,,,,15.90,15.9,,,,
7290112340252,מסטיק מאסט בטעם אבטיח מלון 66 גר,,,,,,,,,,10.90,10.9,,,,
7290112344786,קפה PLATINUMקלאסי 200 גר,,,,,,,,,,32.90,32.9,,32.90,32.9,
7290112346797,אקטיביה שיבולת שועל ושזיף 150 גר`,,,,,,,,,,5,5.0,,5,5.0,
7290112355867,מילקי קצפת טופ פיצפוץ,,,,,,,,,,5.10,5.1,,,,
7290112357106,שעועית אדומה 380  גר`טעם הטבע קופסה,,,,,,,,,,7.50,7.5,,,,
7290112493316,עשיר אפונה רכיבים טבעיים,,,,,,,,,,13.90,13.9,10.90,,,
7290112495020,כריות צ`וקולדה תלמה (686  גר`),,,,,,,,,,32.90,32.9,,,,
7290112495990,כיפלי בטעם גריל 50 גר`,,,,,,,,,,6.90,6.9,15,,,
7290112496003,כיפלי בטעם בצל 50  גר`כשל,,,,,,,,,,6.90,6.9,15,6.90,6.9,15
7290112498939,שלגון בומבה 80 גר` שטראוס,,,,,,,,,,9.50,9.5,15.90,,,
7290112498946,קשת בענן ארטיק ילדים 47 גר`,,,,,,,,,,6.90,6.9,12.90,,,
7290112963529,מאגדת אקסטרים שוקו וניל 6 יח,,,,,,,,,,32.90,32.9,,,,
7290112966827,אינסטנט פודינג שוקולד 90 גרם אסם,,,,,,,,,,6.40,6.4,,,,
7290113192164,אגוזי קשיו קלופים 150  גר`ששון הקולה,,,,,,,,,,15.90,15.9,,15.90,15.9,
7290113192171,מיקס אגוזים שקדים וחמוציות 150 גר` ששון,,,,,,,,,,15.90,15.9,,,,
7290113192324,זיתים ירוקים שלמים בינוניים 560  גר`בית,,,,,,,,,,10.90,10.9,,10.90,10.9,
7290113302396,שיפוד כבש ודג בקלה 80 גר,,,,,,,,,,12.90,12.9,,,,
7290113317116,שליישית ביצי שוקולד-מפרץ  ההרפתקאות כ,,,,,,,,,,14.90,14.9,,,,
7290113560109,משחת שיניים פרודונטקס 75 מל,,,,,,,,,,31.90,31.9,23.90,31.90,31.9,23.90
7290114310222,חלב מועשר בסידן ווטמין D  טרה( 1.5 ליט,,,,,,,,,,14.50,14.5,,,,
7290114312387,חלב מועשר בסידן וויטמין D טרה,,,,,,,,,,8.60,8.6,,,,
7290114313056,יוגורט ביו פרופ 3% קציפת פירות יער אסאי,,,,,,,,,,6,6.0,,,,
7290114320191,קרמאמה שום שמיר 240 גר`,,,,,,,,,,16.90,16.9,,,,
7290114320252,קיו גליל בתוספת חלפיניו 160 גר`,,,,,,,,,,16.90,16.9,,,,
7290114320276,קיו גליל בתוספת עגבניות מיובשות ועשבי תי,,,,,,,,,,16.90,16.9,,,,
7290114600989,רוטב אלף האיים 250 גר` מאסטר שף,,,,,,,,,,10.90,10.9,,,,
7290114604840,מאסטר שף דפי אורז קוטר 16,,,,,,,,,,11.90,11.9,,,,
7290114604864,קוסקוס סולת דק 350 גר,,,,,,,,,,6.50,6.5,,6.50,6.5,
7290114604871,קוסקוס סולת בינוני 350 גר`,,,,,,,,,,6.50,6.5,,6.50,6.5,
7290114653398,שלישיית ביצי שוקולד LOL כשלפ,,,,,,,,,,14.90,14.9,,,,
7290115190120,מרלבורו פיין  טאצ`פאקט) (10,,,,,,,,,,389,389.0,,,,
7290115190236,פרלמנט קצר בלו בודד,,,,,,,,,,53,53.0,48,53,53.0,48
7290115190571,נקסט לילך,,,,,,,,,,39,39.0,35.50,39,39.0,35.50
7290115190618,טבק לגלגול מרלבורו רד,,,,,,,,,,97,97.0,,97,97.0,
7290115191035,מרלבורו סאמר ספלאש בודד,,,,,,,,,,40,40.0,36,40,40.0,36
7290115191332,מרלבורו טאצ` XL,,,,,,,,,,42,42.0,38.90,42,42.0,38.90
7290115209044,מנה חמה מק ציז ספייסי אסם (58 גרם),,,,,,,,,,7.90,7.9,,,,
7290115403473,עוגיות עינוגי שוקולד 500 גר`,,,,,,,,,,15.90,15.9,,,,
7290115480214,סוד מרכך  מרוכז( 900  מל)ארומתרפי ג`ונג,,,,,,,,,,15.90,15.9,,,,
7290115671223,מסטיק מאסט פאן אבטיח מנגו (58 גרם),,,,,,,,,,10.90,10.9,,,,
7290115671339,מיני פינוקיות בראוניז בייגל בוטן 180 גר`,,,,,,,,,,11.90,11.9,22,,,
7290115671346,מיני פינוקיות טופי קרמל מלוח 180 גר`,,,,,,,,,,11.90,11.9,22,,,
7290116531748,חטיף כדורים מעורב חום לבן 65  גר`קליק,,,,,,,,,,7.90,7.9,15,,,
7290116532035,חטיף קליק קורנפלקס 65  גר`כשל,,,,,,,,,,7.90,7.9,15,,,
7290116532042,חטיף קליק כריות 65  גר`כשלפ,,,,,,,,,,7.90,7.9,15,,,
7290116533667,דאב דאו ספריי אינוויזיבל דריי 150 מל,,,,,,,,,,19.90,19.9,,,,
7290116533858,דאודורנט ספריי דאב מן אק. פרש(150 מל),,,,,,,,,,16.90,16.9,,,,
7290116534176,רקסונה דאודורנט ספריי אנטי פרספינט תפוח,,,,,,,,,,14.90,14.9,,,,
7290116534817,דייסת שיבולת שועל חמוציות וצ`יה 300 גר,,,,,,,,,,19.90,19.9,,,,
7290116535371,קורנפלקס ללא גלוטן תלמה 400 גרם כשלפ,,,,,,,,,,27.90,27.9,,,,
7290116536934,בדין אקסטרא זר הרמוניה בלבן 960 מל,,,,,,,,,,18.90,18.9,,,,
7290116537191,בדין אקסטרא Sweet Royal מרוכז 960 מל,,,,,,,,,,18.90,18.9,,,,
7290116933757,יוגורט יופלה קידס טעם תות 3%,,,,,,,,,,4.60,4.6,12.90,,,
7290116934303,פיראוס פטה כבשים 20% 200 גר,,,,,,,,,,22.60,22.6,,,,
