store_id,store_name,city,city_norm,proposed_canonical,match_layer,confidence
739,קרפור סיטי  הרצליה פיתוח (4150),הרצלייה,הרצליה,הרצלייה,L1,1.0
740,קרפור סיטי  נוף ים (4160),הרצלייה,הרצליה,הרצלייה,L1,1.0
741,בעיר נווה עמל (4170),הרצלייה,הרצליה,הרצלייה,L1,1.0
742,"קרפור סיטי  זרובבל רמה""ש (4200)",רמת השרון,רמת השרון,רמת השרון,L1,1.0
743,קרפור סיטי  נצר סירני (4220),נצר סירני,נצר סירני,נצר סרני,L3,0.941
744,אלעד קרפור מרקט (4270),אלעד,אלעד,אלעד,L1,1.0
745,קרפור מרקט  אודיטוריום חיפה (4280),חיפה,חיפה,חיפה,L1,1.0
746,קרפור מרקט  אואזיס רמת גן  (4420) (4420),רמת גן,רמת גן,רמת גן,L1,1.0
747,קרפור מגדלי כרמל (4640),חיפה,חיפה,חיפה,L1,1.0
748,כפר סבא @ קוויק,כפר סבא,כפר סבא,כפר סבא,L1,1.0
749,קרפור אונליין   כפר סבא @ קרפור (5304),כפר סבא,כפר סבא,כפר סבא,L1,1.0
750,@ יהלומים ביתן (9032),גבעתיים,גבעתיים,גבעתיים,L1,1.0
751,,,,,NULL,0.0
752,,,,,NULL,0.0
753,,,,,NULL,0.0
754,,,,,NULL,0.0
755,,,,,NULL,0.0
756,,,,,NULL,0.0
757,,,,,NULL,0.0
758,,,,,NULL,0.0
759,נתניה,נתניה,נתניה,נתניה,L1,1.0
760,אשדוד,אשדוד,אשדוד,אשדוד,L1,1.0
761,בת ים,בת ים,בת ים,בת ים,L1,1.0
762,אשקלון,אשקלון,אשקלון,אשקלון,L1,1.0
763,כרמיאל,כרמיאל,כרמיאל,כרמיאל,L1,1.0
764,חוצות המפרץ (קריות),חיפה,חיפה,חיפה,L1,1.0
765,ראשון מזרח,ראשון לציון,ראשון לציון,ראשון לציון,L1,1.0
766,באר שבע חדש,באר שבע,באר שבע,באר שבע,L1,1.0
767,מודיעין ישפרו,מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,L1,1.0
